Open,High,Low,Close,Volume,isHigher
1333.0345458984375,1370.95263671875,1326.2908935546875,1370.95263671875,0,False
1371.2415771484375,1384.9566650390625,1368.4986572265625,1374.7076416015625,1678917632,False
1374.81396484375,1393.5216064453125,1373.466796875,1381.72998046875,936374272,False
1381.71240234375,1391.7681884765625,1369.256103515625,1382.56982421875,806682624,False
1382.7598876953125,1428.9385986328125,1382.7598876953125,1428.9385986328125,2517630976,False
1429.04443359375,1430.59375,1383.7193603515625,1388.7816162109375,797614080,False
1388.5595703125,1417.9752197265625,1388.5595703125,1417.2626953125,1266675712,True
1417.1820068359375,1419.656005859375,1405.1424560546875,1408.357421875,0,True
1408.5782470703125,1411.336181640625,1388.7462158203125,1411.336181640625,990945280,True
1411.214599609375,1432.300048828125,1411.060546875,1424.8804931640625,0,True
1424.721923828125,1425.2384033203125,1413.3289794921875,1416.1070556640625,45645824,True
1416.3309326171875,1416.3309326171875,1369.11572265625,1369.11572265625,745918464,True
1369.235595703125,1380.28759765625,1344.6865234375,1361.4500732421875,1603514368,False
1361.685302734375,1385.15625,1358.23388671875,1384.6458740234375,1651691520,False
1384.549072265625,1415.207763671875,1383.486083984375,1412.955322265625,1377046528,False
1412.211669921875,1419.6883544921875,1398.1826171875,1411.5628662109375,735928320,True
1410.777099609375,1410.777099609375,1377.2303466796875,1377.2303466796875,73994240,True
1375.2484130859375,1404.8978271484375,1368.3111572265625,1402.67822265625,1028288512,True
1403.51904296875,1405.744140625,1381.9998779296875,1391.343994140625,0,True
1390.9615478515625,1395.637939453125,1375.933349609375,1395.637939453125,0,True
1395.85205078125,1399.6368408203125,1350.235107421875,1350.235107421875,0,True
1350.78076171875,1359.5869140625,1337.7525634765625,1357.7760009765625,1208279040,True
1357.621337890625,1369.7286376953125,1356.1070556640625,1365.0477294921875,159064064,True
1365.1820068359375,1372.1229248046875,1348.334716796875,1348.6282958984375,0,True
1347.9569091796875,1376.3658447265625,1347.1591796875,1373.1553955078125,47128576,True
1372.02685546875,1372.02685546875,1354.5582275390625,1354.5582275390625,0,True
1354.305419921875,1354.305419921875,1309.2601318359375,1311.4102783203125,130928640,True
1312.7022705078125,1313.2113037109375,1286.738037109375,1310.94775390625,1168973824,True
1309.9720458984375,1309.9720458984375,1256.1318359375,1267.4210205078125,0,False
1267.0126953125,1294.7498779296875,1243.2999267578125,1288.5858154296875,440553472,False
1289.8387451171875,1307.3594970703125,1268.8441162109375,1307.0062255859375,732004352,False
1307.708740234375,1319.1185302734375,1302.705322265625,1303.4056396484375,278450176,False
1303.2154541015625,1314.921875,1277.6243896484375,1277.6243896484375,0,False
1279.0850830078125,1307.7408447265625,1257.3272705078125,1306.42333984375,0,False
1308.22998046875,1315.353515625,1294.8133544921875,1314.07568359375,668897280,False
1314.4307861328125,1317.9561767578125,1307.02783203125,1313.4014892578125,0,False
1313.841552734375,1347.0155029296875,1313.841552734375,1347.0020751953125,46854144,False
1347.135498046875,1351.757568359375,1330.0579833984375,1332.427490234375,0,False
1332.488037109375,1335.355712890625,1308.7005615234375,1322.288818359375,0,False
1322.374755859375,1341.237548828125,1319.6148681640625,1337.76220703125,140980224,False
1337.620849609375,1386.0682373046875,1325.0338134765625,1383.3646240234375,1671725056,True
1382.6844482421875,1382.6844482421875,1356.237060546875,1360.5352783203125,0,True
1360.0654296875,1365.934326171875,1332.8681640625,1334.3255615234375,0,True
1335.3389892578125,1339.8419189453125,1318.7760009765625,1333.4814453125,413851648,True
1333.0465087890625,1336.5623779296875,1312.1864013671875,1330.079833984375,0,True
1329.491455078125,1332.963134765625,1289.855712890625,1289.855712890625,0,True
1290.3179931640625,1306.7440185546875,1284.77099609375,1306.558349609375,1001021440,True
1306.685791015625,1314.4730224609375,1302.3560791015625,1313.1876220703125,147431424,True
1312.91162109375,1322.4017333984375,1303.5885009765625,1311.5732421875,0,True
1311.9364013671875,1311.9364013671875,1270.910888671875,1270.910888671875,187076608,True
1270.8880615234375,1270.8880615234375,1241.27978515625,1266.474609375,778670080,True
1265.400390625,1265.400390625,1230.2176513671875,1250.05810546875,0,True
1250.3795166015625,1255.7091064453125,1240.6683349609375,1245.8468017578125,0,True
1244.71435546875,1250.5125732421875,1198.7301025390625,1247.5953369140625,1010077696,True
1246.8040771484375,1257.9425048828125,1236.0926513671875,1237.20263671875,0,True
1237.5902099609375,1244.426513671875,1206.68798828125,1206.68798828125,330354688,True
1207.7911376953125,1228.188232421875,1195.526123046875,1195.526123046875,833466368,True
1196.5103759765625,1216.8509521484375,1179.5775146484375,1179.5775146484375,0,True
1177.9937744140625,1198.3114013671875,1172.6041259765625,1195.671142578125,780406784,True
1195.681640625,1200.265380859375,1186.1708984375,1193.203125,0,True
1192.107421875,1235.5413818359375,1190.63818359375,1234.703125,967471104,True
1234.5111083984375,1234.5111083984375,1212.6177978515625,1212.6177978515625,0,True
1211.7867431640625,1223.1285400390625,1176.649658203125,1177.0946044921875,0,True
1177.48095703125,1177.48095703125,1098.4761962890625,1137.255615234375,1591005184,True
1137.8988037109375,1153.611572265625,1121.3194580078125,1121.3194580078125,164573184,False
1118.8890380859375,1118.8890380859375,1053.8751220703125,1073.1610107421875,1663946752,False
1073.036376953125,1130.696533203125,1046.5965576171875,1129.8526611328125,3378622464,False
1129.654052734375,1154.9677734375,1119.7843017578125,1154.9677734375,1715630080,True
1155.220947265625,1159.161376953125,1130.87255859375,1157.91357421875,608034816,False
1158.5926513671875,1186.9267578125,1157.14404296875,1159.269287109375,423141376,True
